"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2016","Both sexes","68 years","South Dublin","Number","2185"
"Population","2016","Both sexes","68 years","Sligo","Number","686"
"Population","2016","Both sexes","68 years","Tipperary","Number","1643"
"Population","2016","Both sexes","68 years","Waterford City and County","Number","1137"
"Population","2016","Both sexes","68 years","Westmeath","Number","730"
"Population","2016","Both sexes","68 years","Wicklow","Number","1237"
"Population","2016","Both sexes","68 years","Wexford","Number","1444"
"Population","2016","Both sexes","69 years","State","Number","39703"
"Population","2016","Both sexes","69 years","Cork City and Cork County","Number","4595"
"Population","2016","Both sexes","69 years","Clare","Number","1172"
"Population","2016","Both sexes","69 years","Cavan","Number","635"
"Population","2016","Both sexes","69 years","Carlow","Number","445"
"Population","2016","Both sexes","69 years","Dublin City","Number","3967"
"Population","2016","Both sexes","69 years","Donegal","Number","1584"
"Population","2016","Both sexes","69 years","Dún Laoghaire-Rathdown","Number","1954"
"Population","2016","Both sexes","69 years","Fingal","Number","1889"
"Population","2016","Both sexes","69 years","Galway City","Number","532"
"Population","2016","Both sexes","69 years","Galway County","Number","1614"
"Population","2016","Both sexes","69 years","Kildare","Number","1581"
"Population","2016","Both sexes","69 years","Kilkenny","Number","864"
"Population","2016","Both sexes","69 years","Kerry","Number","1661"
"Population","2016","Both sexes","69 years","Longford","Number","374"
"Population","2016","Both sexes","69 years","Louth","Number","1017"
"Population","2016","Both sexes","69 years","Limerick City and County","Number","1695"
"Population","2016","Both sexes","69 years","Leitrim","Number","309"
"Population","2016","Both sexes","69 years","Laois","Number","644"
"Population","2016","Both sexes","69 years","Meath","Number","1335"
"Population","2016","Both sexes","69 years","Monaghan","Number","531"
"Population","2016","Both sexes","69 years","Mayo","Number","1462"
"Population","2016","Both sexes","69 years","Offaly","Number","634"
"Population","2016","Both sexes","69 years","Roscommon","Number","624"
"Population","2016","Both sexes","69 years","South Dublin","Number","2052"
"Population","2016","Both sexes","69 years","Sligo","Number","639"
"Population","2016","Both sexes","69 years","Tipperary","Number","1451"
"Population","2016","Both sexes","69 years","Waterford City and County","Number","1160"
"Population","2016","Both sexes","69 years","Westmeath","Number","694"
"Population","2016","Both sexes","69 years","Wicklow","Number","1200"
"Population","2016","Both sexes","69 years","Wexford","Number","1389"
"Population","2016","Both sexes","70 years","State","Number","37821"
"Population","2016","Both sexes","70 years","Cork City and Cork County","Number","4382"
"Population","2016","Both sexes","70 years","Clare","Number","1115"
"Population","2016","Both sexes","70 years","Cavan","Number","609"
"Population","2016","Both sexes","70 years","Carlow","Number","432"
"Population","2016","Both sexes","70 years","Dublin City","Number","3840"
"Population","2016","Both sexes","70 years","Donegal","Number","1470"
"Population","2016","Both sexes","70 years","Dún Laoghaire-Rathdown","Number","1903"
"Population","2016","Both sexes","70 years","Fingal","Number","1748"
"Population","2016","Both sexes","70 years","Galway City","Number","562"
"Population","2016","Both sexes","70 years","Galway County","Number","1522"
"Population","2016","Both sexes","70 years","Kildare","Number","1401"
"Population","2016","Both sexes","70 years","Kilkenny","Number","806"
"Population","2016","Both sexes","70 years","Kerry","Number","1568"
"Population","2016","Both sexes","70 years","Longford","Number","374"
"Population","2016","Both sexes","70 years","Louth","Number","1021"
"Population","2016","Both sexes","70 years","Limerick City and County","Number","1641"
"Population","2016","Both sexes","70 years","Leitrim","Number","305"
"Population","2016","Both sexes","70 years","Laois","Number","630"
"Population","2016","Both sexes","70 years","Meath","Number","1278"
"Population","2016","Both sexes","70 years","Monaghan","Number","490"
"Population","2016","Both sexes","70 years","Mayo","Number","1334"
"Population","2016","Both sexes","70 years","Offaly","Number","635"
"Population","2016","Both sexes","70 years","Roscommon","Number","651"
"Population","2016","Both sexes","70 years","South Dublin","Number","1894"
"Population","2016","Both sexes","70 years","Sligo","Number","607"
"Population","2016","Both sexes","70 years","Tipperary","Number","1429"
"Population","2016","Both sexes","70 years","Waterford City and County","Number","1027"
"Population","2016","Both sexes","70 years","Westmeath","Number","660"
"Population","2016","Both sexes","70 years","Wicklow","Number","1137"
"Population","2016","Both sexes","70 years","Wexford","Number","1350"
"Population","2016","Both sexes","71 years","State","Number","34612"
"Population","2016","Both sexes","71 years","Cork City and Cork County","Number","4027"
"Population","2016","Both sexes","71 years","Clare","Number","1015"
"Population","2016","Both sexes","71 years","Cavan","Number","576"
"Population","2016","Both sexes","71 years","Carlow","Number","401"
"Population","2016","Both sexes","71 years","Dublin City","Number","3478"
"Population","2016","Both sexes","71 years","Donegal","Number","1396"
"Population","2016","Both sexes","71 years","Dún Laoghaire-Rathdown","Number","1741"
"Population","2016","Both sexes","71 years","Fingal","Number","1629"
"Population","2016","Both sexes","71 years","Galway City","Number","468"
"Population","2016","Both sexes","71 years","Galway County","Number","1366"
"Population","2016","Both sexes","71 years","Kildare","Number","1279"
"Population","2016","Both sexes","71 years","Kilkenny","Number","784"
"Population","2016","Both sexes","71 years","Kerry","Number","1414"
"Population","2016","Both sexes","71 years","Longford","Number","339"
"Population","2016","Both sexes","71 years","Louth","Number","844"
"Population","2016","Both sexes","71 years","Limerick City and County","Number","1505"
"Population","2016","Both sexes","71 years","Leitrim","Number","294"
"Population","2016","Both sexes","71 years","Laois","Number","513"
"Population","2016","Both sexes","71 years","Meath","Number","1191"
"Population","2016","Both sexes","71 years","Monaghan","Number","450"
"Population","2016","Both sexes","71 years","Mayo","Number","1221"
"Population","2016","Both sexes","71 years","Offaly","Number","551"
"Population","2016","Both sexes","71 years","Roscommon","Number","535"
"Population","2016","Both sexes","71 years","South Dublin","Number","1729"
"Population","2016","Both sexes","71 years","Sligo","Number","585"
"Population","2016","Both sexes","71 years","Tipperary","Number","1359"
"Population","2016","Both sexes","71 years","Waterford City and County","Number","950"
"Population","2016","Both sexes","71 years","Westmeath","Number","675"
"Population","2016","Both sexes","71 years","Wicklow","Number","1086"
"Population","2016","Both sexes","71 years","Wexford","Number","1211"
"Population","2016","Both sexes","72 years","State","Number","32430"
"Population","2016","Both sexes","72 years","Cork City and Cork County","Number","3695"
"Population","2016","Both sexes","72 years","Clare","Number","912"
"Population","2016","Both sexes","72 years","Cavan","Number","520"
"Population","2016","Both sexes","72 years","Carlow","Number","368"
"Population","2016","Both sexes","72 years","Dublin City","Number","3383"
"Population","2016","Both sexes","72 years","Donegal","Number","1304"
"Population","2016","Both sexes","72 years","Dún Laoghaire-Rathdown","Number","1734"
"Population","2016","Both sexes","72 years","Fingal","Number","1470"
"Population","2016","Both sexes","72 years","Galway City","Number","450"
"Population","2016","Both sexes","72 years","Galway County","Number","1268"
"Population","2016","Both sexes","72 years","Kildare","Number","1161"
"Population","2016","Both sexes","72 years","Kilkenny","Number","714"
"Population","2016","Both sexes","72 years","Kerry","Number","1290"
"Population","2016","Both sexes","72 years","Longford","Number","289"
"Population","2016","Both sexes","72 years","Louth","Number","919"
"Population","2016","Both sexes","72 years","Limerick City and County","Number","1406"
"Population","2016","Both sexes","72 years","Leitrim","Number","278"
"Population","2016","Both sexes","72 years","Laois","Number","489"
"Population","2016","Both sexes","72 years","Meath","Number","1136"
"Population","2016","Both sexes","72 years","Monaghan","Number","430"
"Population","2016","Both sexes","72 years","Mayo","Number","1124"
"Population","2016","Both sexes","72 years","Offaly","Number","507"
"Population","2016","Both sexes","72 years","Roscommon","Number","552"
"Population","2016","Both sexes","72 years","South Dublin","Number","1609"
"Population","2016","Both sexes","72 years","Sligo","Number","508"
"Population","2016","Both sexes","72 years","Tipperary","Number","1251"
"Population","2016","Both sexes","72 years","Waterford City and County","Number","891"
"Population","2016","Both sexes","72 years","Westmeath","Number","548"
"Population","2016","Both sexes","72 years","Wicklow","Number","1024"
"Population","2016","Both sexes","72 years","Wexford","Number","1200"
"Population","2016","Both sexes","73 years","State","Number","30219"
"Population","2016","Both sexes","73 years","Cork City and Cork County","Number","3332"
"Population","2016","Both sexes","73 years","Clare","Number","806"
"Population","2016","Both sexes","73 years","Cavan","Number","445"
"Population","2016","Both sexes","73 years","Carlow","Number","371"
"Population","2016","Both sexes","73 years","Dublin City","Number","3280"
"Population","2016","Both sexes","73 years","Donegal","Number","1220"
"Population","2016","Both sexes","73 years","Dún Laoghaire-Rathdown","Number","1653"
"Population","2016","Both sexes","73 years","Fingal","Number","1367"
"Population","2016","Both sexes","73 years","Galway City","Number","411"
"Population","2016","Both sexes","73 years","Galway County","Number","1205"
